codigo,descripcion,abreviatura
0,DOC.TRIB.NO.DOM.SIN.RUC,DOC
1,Documento Nacional de Identidad,DNI
4,Carnet de extranjería,CE
6,Registro Unico de Contributentes,RUC
7,Pasaporte,PAS
A,Cédula Diplomática de identidad,CDI
B,DOC.IDENT.PAIS.RESIDENCIA-NO.D,DPR
C,Tax Identification Number - TIN – Doc Trib PP.NN,TIN
D,Identification Number - IN – Doc Trib PP. JJ,IN
E,TAM- Tarjeta Andina de Migración,TAM
